==> dp8rd2-1.log <==
vol=/root/gluster/dt2dp4rd1, bs=256k, separately_count=1, 178257920.000 Bytes/s, 170.000 MB/s, 170.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=512k, separately_count=1, 227540992.000 Bytes/s, 217.000 MB/s, 217.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=1M, separately_count=1, 281018368.000 Bytes/s, 268.000 MB/s, 268.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=2M, separately_count=1, 311427072.000 Bytes/s, 297.000 MB/s, 297.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=4M, separately_count=1, 337641472.000 Bytes/s, 322.000 MB/s, 322.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=8M, separately_count=1, 339738624.000 Bytes/s, 324.000 MB/s, 324.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=16M, separately_count=1, 341835776.000 Bytes/s, 326.000 MB/s, 326.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=32M, separately_count=1, 329252864.000 Bytes/s, 314.000 MB/s, 314.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=64M, separately_count=1, 347078656.000 Bytes/s, 331.000 MB/s, 331.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=128M, separately_count=1, 350224384.000 Bytes/s, 334.000 MB/s, 334.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=256M, separately_count=1, 354418688.000 Bytes/s, 338.000 MB/s, 338.000 MB/s
vol=/root/gluster/dt2dp4rd1, bs=512M, separately_count=1, 343932928.000 Bytes/s, 328.000 MB/s, 328.000 MB/s

==> dt2dp4rd1-8.log <==
vol=/root/gluster/dt2dp4rd1, bs=1k, separately_count=8, 985958.400 Bytes/s, 0.940 MB/s, 7.522 MB/s
vol=/root/gluster/dt2dp4rd1, bs=2k, separately_count=8, 2254438.400 Bytes/s, 2.150 MB/s, 17.200 MB/s
vol=/root/gluster/dt2dp4rd1, bs=4k, separately_count=8, 4613734.400 Bytes/s, 4.400 MB/s, 35.200 MB/s
vol=/root/gluster/dt2dp4rd1, bs=8k, separately_count=8, 9161932.800 Bytes/s, 8.738 MB/s, 69.900 MB/s
vol=/root/gluster/dt2dp4rd1, bs=16k, separately_count=8, 18533580.800 Bytes/s, 17.675 MB/s, 141.400 MB/s
