logfile, volume_type, bs, bandwidth[Bytes/s]
multiple-nfs.log, nfs, 2M, 31560040.448
multiple-nfs.log, nfs, 4M, 111228747.776
multiple-nfs.log, nfs, 8M, 69323456.512
multiple-nfs.log, nfs, 16M, 77830553.600
multiple-nfs.log, nfs, 32M, 86207627.264
multiple-nfs.log, nfs, 64M, 102064193.536
multiple-nfs.log, nfs, 128M, 86944776.192
multiple-nfs.log, nfs, 256M, 82454773.760
multiple-nfs.log, nfs, 512M, 49086988.288
single-dt8.log, dt8, 1k, 3250585.600
single-dt8.log, dt8, 2k, 7340032.000
single-dt8.log, dt8, 4k, 11114905.600
single-dt8.log, dt8, 8k, 29360128.000
single-dt8.log, dt8, 16k, 57147392.000
single-dt8.log, dt8, 32k, 97307852.800
single-dt8.log, dt8, 64k, 156237824.000
single-dt8.log, dt8, 128k, 223346688.000
single-dt8.log, dt8, 256k, 328204288.000
single-dt8.log, dt8, 512k, 469762048.000
single-dt8.log, dt8, 1024k, 568328192.000
single-dt8.log, dt8, 2M, 681574400.000
single-dt8.log, dt8, 4M, 747634688.000
single-dt8.log, dt8, 8M, 795869184.000
single-dt8.log, dt8, 16M, 730857472.000
single-dt8.log, dt8, 32M, 811597824.000
single-dt8.log, dt8, 64M, 780140544.000
single-dt8.log, dt8, 128M, 769654784.000
single-dt8.log, dt8, 256M, 814743552.000
single-dt8.log, dt8, 512M, 772800512.000
single-dp8rd2.log, dp8rd2, 1k, 778240.000
single-dp8rd2.log, dp8rd2, 2k, 2831155.200
single-dp8rd2.log, dp8rd2, 4k, 5347737.600
single-dp8rd2.log, dp8rd2, 8k, 11639193.600
single-dp8rd2.log, dp8rd2, 16k, 20971520.000
single-dp8rd2.log, dp8rd2, 32k, 38482739.200
single-dp8rd2.log, dp8rd2, 64k, 75287756.800
single-dp8rd2.log, dp8rd2, 128k, 136314880.000
single-dp8rd2.log, dp8rd2, 256k, 207618048.000
single-dp8rd2.log, dp8rd2, 512k, 328204288.000
single-dp8rd2.log, dp8rd2, 1024k, 412090368.000
single-dp8rd2.log, dp8rd2, 2M, 440401920.000
single-dp8rd2.log, dp8rd2, 4M, 414187520.000
single-dp8rd2.log, dp8rd2, 8M, 479199232.000
single-dp8rd2.log, dp8rd2, 16M, 446693376.000
single-dp8rd2.log, dp8rd2, 32M, 440401920.000
single-dp8rd2.log, dp8rd2, 64M, 435159040.000
single-dp8rd2.log, dp8rd2, 128M, 423624704.000
single-dp8rd2.log, dp8rd2, 256M, 420478976.000
single-dp8rd2.log, dp8rd2, 512M, 412090368.000
single-dt2dp4rd1.log, dt2dp4rd1, 1k, 1363148.800
single-dt2dp4rd1.log, dt2dp4rd1, 2k, 3565158.400
single-dt2dp4rd1.log, dt2dp4rd1, 4k, 6920601.600
single-dt2dp4rd1.log, dt2dp4rd1, 8k, 15833497.600
single-dt2dp4rd1.log, dt2dp4rd1, 16k, 31457280.000
single-dt2dp4rd1.log, dt2dp4rd1, 32k, 58510540.800
single-dt2dp4rd1.log, dt2dp4rd1, 64k, 108003328.000
single-dt2dp4rd1.log, dt2dp4rd1, 128k, 173015040.000
single-dt2dp4rd1.log, dt2dp4rd1, 256k, 235929600.000
single-dt2dp4rd1.log, dt2dp4rd1, 512k, 339738624.000
single-dt2dp4rd1.log, dt2dp4rd1, 1024k, 408944640.000
single-dt2dp4rd1.log, dt2dp4rd1, 2M, 420478976.000
single-dt2dp4rd1.log, dt2dp4rd1, 4M, 467664896.000
single-dt2dp4rd1.log, dt2dp4rd1, 8M, 442499072.000
single-dt2dp4rd1.log, dt2dp4rd1, 16M, 477102080.000
single-dt2dp4rd1.log, dt2dp4rd1, 32M, 439353344.000
single-dt2dp4rd1.log, dt2dp4rd1, 64M, 461373440.000
single-dt2dp4rd1.log, dt2dp4rd1, 128M, 317718528.000
single-dt2dp4rd1.log, dt2dp4rd1, 256M, 427819008.000
single-dt2dp4rd1.log, dt2dp4rd1, 512M, 482344960.000
single-dt4rp2.log, dt4rp2, 1k, 1782579.200
single-dt4rp2.log, dt4rp2, 2k, 3984588.800
single-dt4rp2.log, dt4rp2, 4k, 8074035.200
single-dt4rp2.log, dt4rp2, 8k, 16148070.400
single-dt4rp2.log, dt4rp2, 16k, 31352422.400
single-dt4rp2.log, dt4rp2, 32k, 59244544.000
single-dt4rp2.log, dt4rp2, 64k, 101397299.200
single-dt4rp2.log, dt4rp2, 128k, 168820736.000
single-dt4rp2.log, dt4rp2, 256k, 307232768.000
single-dt4rp2.log, dt4rp2, 512k, 416284672.000
single-dt4rp2.log, dt4rp2, 1024k, 504365056.000
single-dt4rp2.log, dt4rp2, 2M, 645922816.000
single-dt4rp2.log, dt4rp2, 4M, 802160640.000
single-dt4rp2.log, dt4rp2, 8M, 848297984.000
single-dt4rp2.log, dt4rp2, 16M, 873463808.000
single-dt4rp2.log, dt4rp2, 32M, 794820608.000
single-dt4rp2.log, dt4rp2, 64M, 740294656.000
single-dt4rp2.log, dt4rp2, 128M, 767557632.000
single-dt4rp2.log, dt4rp2, 256M, 779091968.000
single-dt4rp2.log, dt4rp2, 512M, 761266176.000
single-nfs.log, nfs, 1k, 19251.200
single-nfs.log, nfs, 2k, 1677721.600
single-nfs.log, nfs, 4k, 2621440.000
single-nfs.log, nfs, 8k, 269312.000
single-nfs.log, nfs, 16k, 967680.000
single-nfs.log, nfs, 32k, 1782579.200
